Films,What stage name did John Prakasa Rao adopt after his hit mimicry performance at a Hindustan Lever company function?,Johnny Lever,Johnny Walker,Jackie Shroff,V.I.P,,#movies,08/03/18
Films,Which comedian was given World War II books to study Hitler's gestures in detail for his role in a 1975 movie?,Asrani,Om Puri,Amrish Puri,Mehmood,,#movies,09/03/18
Films,Which Bollywood actor played the lead in the play 'Kanji Virudha Kanji' and reprised it on screen in a film based on the play?,Paresh Rawal,Tiku Talsania,Asrani,Satish Shah,,#movies,10/03/18
Films,"Inspired from the comedy films in the 'Road to' series by Hope and Crosby, which duo started their own venture in a similar style?",Johar-Mehmood,Johar-Walker,Walker-Mehmood,Chopra-Khan,,#movies,11/03/18
Films,What name based on a Scottish brand was given to Badruddin Kazi by Guru Dutt who was impressed with his screen test as a drunkard?,Johnny Walker,Johnny Lever,Liliput,Charlie,,#movies,12/03/18
Films,"Which actor has won the Filmfare Award for Best Performance in a Comic Role for films like 'Khel', 'Darr', 'Ram Lakhan' etc.?",Anupam Kher,Boman Irani,Johnny Lever,Kader Khan,,#movies,13/03/18
Films,"Who played Tejinder Rajpal, a character based on the lawyer Ram Jethmalani, in the National Award winning movie 'Jolly LLB'?",Boman Irani,Saurabh Shukla,Rajat Kapoor,Anupam Kher,,#movies,14/03/18
Films,"Javed Jaffrey, the famous actor and anchor is the son of which popular comedian who featured in 'Sholay' and 'Andaz Apna Apna'?",Jagdeep,Asrani,Deven Verma,Mehmood,,#movies,15/03/18
Films,Which Marathi actor and comedian played the sidekick in the Salman Khan starrers 'Hum Aapke Hai Koun..!' and 'Maine Pyar Kiya'?,Laxmikant Berde,Ashok Saraf,Deven Verma,Sachin Pilgaonkar,,#movies,16/03/18
Films,Who played the characters of 'Ninja Chacha' in the 1999 film 'Hello Brother' and 'Babu Bisleri' in the 2003 movie 'Hungama'?,Razak Khan,Farooq Sheikh,Jaspal Bhatti,Kader Khan,,#movies,17/03/18
Films,Which famous actor and comedian gained immense popularity for his role of 'Jaggu Yadav' in the 2005 movie 'Salaam Namaste'?,Javed Jaffrey,Navjot Siddhu,Kapil Sharma,Shekhar Suman,,#movies,18/03/18
Films,"Which comedian has famously played the cop in films like 'Phir Hera Pheri', 'Dhamaal', 'Dhol', 'Andaz Apna Apna' etc. ?",Tiku Talsania,Jagdish Raj,Johnny Lever,Kapil Sharma,,#movies,19/03/18
Films,Which acclaimed actor played the corrupt Municipal Commissioner D'Mello in the black comedy 'Jaane Bhi Do Yaaro'?,Satish Shah,Sumeet Raghavan,Om Puri,Pankaj Kapur,,#movies,20/03/18
Films,Which actor who featured in movies like 'Yes Boss' and 'Karan Arjun' starred as 'Anand Mathur' in the Indian sitcom 'Hum Paanch'?,Ashok Saraf,Sachin Pilgaonkar,Laxmikant Berde,Annu Kapoor,,#movies,21/03/18
Films,"Which NSD graduate has played several comic characters on screen named 'Calendar', 'Airport', 'BBC', 'Jumbo' and 'Pappu Pager'?",Satish Kaushik,Anupam Kher,Om Puri,Naseeruddin Shah,,#movies,22/03/18
